,Page_title,Subtitle,Lists,Context,List_tags
112,formatting spreadsheets,formatting borders and backgrounds for cells and pages,"you can assign a format to any group of cells by first selecting the cells (for multiple selection, hold down the command ctrl setsystemspan(""swlnidm45249057734064""); key when clicking), and then activating the format cells dialog in format - cell . in this dialog, you can select attributes such as shadows and backgrounds. <st> to apply formatting attributes to an entire sheet, choose format - page . you can define headers and footers, for example, to appear on each printed page.",numbers,0
113,inserting and deleting page breaks,to insert a manual page break,click in your document where you want the new page to begin. <st> press ctrl+enter.,,1
114,inserting and deleting page breaks,to delete a manual page break,click in front of the first character on the page that follows the manual page break. <st> press backspace.,press ctrl+enter.,1
115,inserting and deleting page breaks,to delete a manual page break that occurs before a table,"right-click in the table, and choose table . <st> click the text flow tab. <st> clear the break check box.",press backspace.,1
116,managing bookmarks,managing bookmarks,double-clicking a bookmark or pressing the return key opens the assigned page in help. a right-click opens the context menu. <st> use the del key to delete a selected bookmark.,bookmarks,0
117,managing bookmarks,managing bookmarks,display - displays the selected help subject . <st> rename - opens a dialog for entering another name for the bookmark . <st> delete - deletes the selected bookmark.,the following commands are on the context menu of a bookmark:,0
118,selecting printer paper trays,selecting printer paper trays,"choose view - styles . <st> click the page styles icon. <st> right-click the page style in the list that you want to specify the paper source for, and then choose modify . <st> in the paper tray box, select the paper tray that you want to use. <st> click ok . <st> repeat steps 1-5 for each page style that you want to specify the paper for. <st> apply the page style to the pages that you want.",use page styles to specify different paper sources for different pages in your document.,1
119,using charts in libreoffice,chart data,"spreadsheet values from calc cell ranges <st> cell values from a writer table <st> values that you enter in the chart data table dialog (you can create these charts in writer, draw, or impress, and you can copy and paste them also to calc)",charts can be based on the following data:,0
120,using charts in libreoffice,to edit a chart,"click a chart to edit the object properties: size and position on the current page. alignment, text wrap, outer borders, and more. <st> double-click a chart to enter the chart edit mode: chart data values (for charts with own data). chart type, axes, titles, walls, grid, and more. <st> double-click a chart element in chart edit mode: double-click an axis to edit the scale, type, color, and more. double-click a data point to select and edit the data series to which the data point belongs. with a data series selected, click, then double-click a single data point to edit the properties of this data point (for example, a single bar in a bar chart). double-click the legend to select and edit the legend. click, then double-click a symbol in the selected legend to edit the associated data series. double-click any other chart element, or click the element and open the format menu, to edit the properties. <st> click outside the chart to leave the current edit mode.",choosing a chart type,1
121,using captions,using captions,"select the item that you want to add a caption to. <st> choose insert - caption . <st> select the options that you want, and then click ok . if you want, you can also enter different text in the category box, for example figure .",to define a caption proceed as follows:,1
122,text superscript  subscript,text superscript  subscript,"in the cell, select the character that you want to put in superscript or subscript. if, for example, you want to write h20 with a subscript 2, select the 2 in the cell (not in the input line). <st> open the context menu for the selected character and choose character . you will see the character dialog. <st> click the font position tab. <st> select the subscript option and click ok.",,1
123,calculating in spreadsheets,calculating in spreadsheets,"click in a cell, and type a number <st> press enter. the cursor moves down to the next cell. <st> enter another number. <st> press the tab key. the cursor moves to the right into the next cell. <st> type in a formula, for example, =a3  a4  100. <st> press enter. the result of the formula appears in the cell. if you want, you can edit the formula in the input line of the formula bar. when you edit a formula, the new result is calculated automatically.",the following is an example of a calculation in libreoffice calc.,1
124,printing in reverse order,printing in reverse order,choose file - print . <st> click the general tab. <st> choose print in reverse page order . <st> click print .,,1
125,adding or deleting a row or column to a table using the keyboard,adding or deleting a row or column to a table using the keyboard,"to insert a new row in a table, place the cursor in a table cell, press option alt setsystemspan(""swlnidm46470791574048""); +insert, and then press the up or down arrow key. you can also move the cursor to the last cell in the table, and then press tab. <st> to insert a new column, place the cursor in a table cell, press option alt setsystemspan(""swlnidm46470791571088""); +insert, and then press the left or right arrow key. <st> to split a table cell instead of adding a column, press option alt setsystemspan(""swlnidm46470791568208""); +insert, and then hold down command ctrl setsystemspan(""swlnidm46470791566960""); while you press the left or right arrow key. <st> to delete a row, place the cursor in a table cell, press option alt setsystemspan(""swlnidm46470791564080""); +delete, and then press the up or down arrow key. <st> to delete a column, place the cursor in a table cell, press option alt setsystemspan(""swlnidm46470791561200""); +delete, and then press the left or the right arrow key. <st> to merge a table into an adjacent cell, place the cursor in the cell, press option alt setsystemspan(""swlnidm46470791558288""); +delete, hold down command ctrl setsystemspan(""swlnidm46470791557040""); , and then press the left or the right arrow key.",you can add or delete rows or columns in tables as well as split or merge table cells using the keyboard.,0
126,applying styles in fill format mode,applying styles in fill format mode,"choose view - styles . <st> click the icon of the style category that you want to apply. <st> click the style, and then click the fill format mode icon in the styles window. <st> move the mouse pointer to where you want to apply the style in the document, and click. to apply the style to more than one item, drag to select the items, and then release. <st> press esc when finished.","you can quickly apply styles, such as paragraph and character styles, in your document by using the fill format mode in the styles window.",1
127,turning off autocorrect,turning off autocorrect,"to quickly undo an automatic correction or completion, press command ctrl setsystemspan(""swlnidm46481742130000""); +z. <st> to turn off most autocorrect features, remove the check mark from the menu tools - autocorrect - while typing .","by default, libreoffice automatically corrects many common typing errors and applies formatting while you type.",0
128,turning off autocorrect,to remove a word from the autocorrect list,"choose tools - autocorrect - autocorrect options . <st> click the replace tab. <st> in the autocorrect list, select the word pair that you want to remove. <st> click delete .",tools - autocorrect - while typing,1
129,turning off autocorrect,to stop replacing quotation marks,"choose tools - autocorrect - autocorrect options . <st> click the localized options tab <st> clear the ""replace"" check box(es).",delete,1
130,turning off autocorrect,to stop capitalizing the first letter of a sentence,"choose tools – autocorrect options . <st> click the options tab. <st> clear the ""capitalize first letter of every sentence"" check box.","clear the ""replace"" check box(es).",1
131,turning off autocorrect,to stop drawing a line when you type three identical characters,"choose tools - autocorrect - autocorrect options . <st> click the options tab. <st> clear the ""apply border"" check box.",libreoffice automatically draws a line when you type three of the following characters and press enter: - _ =  ~,1
132,inserting hyperlinks with the navigator,inserting hyperlinks with the navigator,"open the document(s) containing the items you want to cross-reference. <st> on the standard bar, click the navigator icon. <st> click the arrow next to the drag mode icon, and ensure that insert as hyperlink is selected. <st> in the list at the bottom of the navigator, select the document containing the item that you want to cross-reference. <st> in the navigator list, click the plus sign next to the item that you want to insert as a hyperlink. <st> drag the item to where you want to insert the hyperlink in the document.",libreoffice,1
133,applying autofilter,applying autofilter,select the columns you want to use autofilter on. <st> choose data - filter - autofilter . the combo box arrows are visible in the first row of the range selected. <st> run the filter by clicking the drop-down arrow in the column heading and choosing an item. only those rows whose contents meet the filter criteria are displayed. the other rows are filtered. you can see if rows have been filtered from the discontinuous row numbers. the column that has been used for the filter is identified by a different color for the arrow button.,autofilter,1
134,selecting multiple cells,mark a single cell,"click, then shift-click the cell. <st> pressing the mouse button, drag a range across two cells, do not release the mouse button, and then drag back to the first cell. release the mouse button. you can now move the individual cell by drag and drop.",do one of the following:,0
135,selecting multiple cells,select various dispersed cells,"mark at least one cell. then while pressing command ctrl setsystemspan(""swlnidm46019864924800""); , click each of the additional cells. <st> click the std  ext  add area in the status bar until it shows add. now click all cells that you want to select.",do one of the following:,0
136,event-driven macros,assigning a macro to an event,choose tools - customize and click the events tab. <st> select whether you want the assignment to be globally valid or just valid in the current document in the save in listbox. <st> select the event from the event list. <st> click macro and select the macro to be assigned to the selected event. <st> click ok to assign the macro. <st> click ok to close the dialog.,,1
137,event-driven macros,removing the assignment of a macro to an event,choose tools - customize and click the events tab. <st> select whether you want to remove a global assignment or an assignment that is just valid in the current document by selecting the option in the save in listbox. <st> select the event that contains the assignment to be removed from the event list. <st> click remove . <st> click ok to close the dialog.,ok,1
138,referencing other sheets,to reference a cell in the same document,"open a new, empty spreadsheet. <st> by way of example, enter the following formula in cell a1 of sheet1: =sheet2.a1 <st> click the sheet 2 tab at the bottom of the spreadsheet. set the cursor in cell a1 there and enter text or a number. <st> if you switch back to sheet1, you will see the same content in cell a1 there. if the contents of sheet2.a1 change, then the contents of sheet1.a1 also change.","in the same way, a reference can also be made to a cell from another document provided that this document has already been saved as a file.",1
139,referencing other sheets,to reference a cell in another document,"choose file - open , to load an existing spreadsheet document. <st> choose file - new , to open a new spreadsheet document. set the cursor in the cell where you want to insert the external data and enter an equals sign to indicate that you want to begin a formula. <st> now switch to the document you have just loaded. click the cell with the data that you want to insert in the new document. <st> switch back to the new spreadsheet. in the input line you will now see how libreoffice calc has added the reference to the formula for you. the reference to a cell of another document contains the name of the other document in single inverted commas, then a hash , then the name of the sheet of the other document, followed by a point and the name of the cell. <st> confirm the formula by clicking the green check mark. <st> if you drag the box in the lower right corner of the active cell to select a range of cells, libreoffice automatically inserts the corresponding references in the adjacent cells. as a result, the sheet name is preceded with a """" sign to designate it as an absolute reference.","if you switch back to sheet1, you will see the same content in cell a1 there. if the contents of sheet2.a1 change, then the contents of sheet1.a1 also change.",1
140,using a frame to center text on a page,using a frame to center text on a page,"select the text that you want to center on the page. <st> choose insert - frame . <st> in the anchor area, select to page . <st> in the size area, set the dimensions of the frame. <st> in the position area, select ""center"" in the horizontal and vertical boxes. <st> click ok .",,1
141,shortcuts (libreoffice math accessibility),inserting a formula using a window,"if you want to use the libreoffice math interface to edit a formula, choose the command insert - object - formula without any text selected.",insert - object - formula,0
142,shortcuts (libreoffice math accessibility),inserting a formula using a window,"the cursor waits in the commands window and you can type the formula. <st> you can compose formulas using the elements pane. open it with the menu view - elements if it is not already open. <st> if the elements pane is open, use f6 to switch from the commands window to the elements pane and back.",insert - object - formula,0
143,shortcuts (libreoffice math accessibility),inserting a formula directly,write the formula into your text <st> select the formula <st> choose the command insert - object - formula .,"if you want to insert a formula into a text document, and you already know the correct writing, you can proceed as follows:",1
144,zooming with the keypad,zooming with the keypad,"to zoom in, press the plus sign. <st> to zoom out, press the minus sign.",you can use the keypad to quickly enlarge or reduce the view on your slide.,0
145,creating a document template,creating a document template,"create a document and add the content and formatting styles that you want. <st> choose file - templates - save as template . <st> in the new template box, type a name for the new template. <st> select a template category in the categories list. <st> click ok .",you can create a template to use as the basis for creating new text documents.,1
146,calculating complex formulas in text documents,calculating complex formulas in text documents,"click in the document where you want to insert the formula, and then press f2. <st> click the formula icon, and choose ""mean"" from the statistical functions list. <st> type the three numbers, separated by vertical slashes (|). <st> press enter . the result is inserted as a field into the document.","for example, to calculate the mean value of three numbers, do the following:",1
147,drawing sectors and segments,to draw a sector of a circle or an ellipse:,"open the ellipses toolbar and click one of the circle pie or ellipse pie icons . the mouse pointer changes to a cross hair with a small icon of a sector. <st> position the pointer at the edge of the circle you want to draw and drag to create the circle. to create a circle by dragging from the center, press option alt setsystemspan(""swlnidm45922991084720""); while dragging. <st> release the mouse button when the circle has reached the size you want. a line corresponding to the circle radius appears in the circle. <st> position the pointer where you want to place the first boundary of the sector and click. as the radius line that follows the pointer is constrained to the circle boundaries, you can click anywhere in the document. <st> position the pointer where you want to place the second boundary of the sector and click. the completed sector is displayed.",ellipse,1
148,duplicating objects,duplicating objects,"use the ellipse tool to draw a solid yellow ellipse. <st> select the ellipse and choose edit - duplicate . <st> enter 12 as number of copies. <st> enter a negative value for the width and height so that the coins decrease in size as you go up the stack. <st> to define a color transition for the coins, select different colors in the start and end boxes. the start color is applied to the object that you are duplicating. <st> click ok to create the duplicates.",the following example creates a stack of coins by making multiple copies of a single ellipse.,1
149,conditional text for page counts,conditional text for page counts,"place the cursor in your document where you want to insert the page count. <st> choose insert - field - page count , and then enter a space. <st> choose insert - field - more fields , and then click the functions tab. <st> click ""conditional text"" in the type list. <st> type page > 1 in the condition box. <st> type pages in the then box. <st> type page in the else box. <st> click insert , and then click close .","you can create a conditional text field that displays the word ""pages"" instead of ""page"" in conjunction with a page count field if your document contains more than one page.",1
150,turning number recognition on or off in tables,turning number recognition on or off in tables,"right-click in a table cell and choose number recognition . when this feature is on, a check mark is displayed in front of the number recognition command.",do one of the following:,0
151,turning number recognition on or off in tables,turning number recognition on or off in tables,"choose libreoffice - preferences tools - options setsystemspan(""swlnidm45718814585136""); - libreoffice writer - table , and select or clear the number recognition check box.",number recognition,0
152,sending documents as e-mail,sending documents as e-mail,"choose file - send - e-mail document . libreoffice opens your default e-mail program. if you want to send the current document with another e-mail program, you can select the program to use with internet - e-mail in the options dialog box. setsystemspan(""swlnidm46245349586160""); <st> in your e-mail program, enter the recipient, subject and any text you want to add, then send the e-mail.","working in libreoffice, you can send the current document as an e-mail attachment.",1
153,spacing between footnotes,spacing between footnotes,"click in a footnote or endnote. <st> choose view - styles . <st> right-click the paragraph style that you want to modify, for example, ""footnote"", and choose modify . <st> click the borders tab. <st> in the default area, click the set top and bottom borders only icon. <st> in the line area, click a line in the style list. <st> select ""white"" in the color box. if the background of the page is not white, select the color that best matches the background color. <st> in the padding area, clear the synchronize check box. <st> enter a value in the top and bottom boxes. <st> click ok .","if you want to increase the spacing between footnote or endnote texts, you can add a top and bottom border to the corresponding paragraph style.",1
154,adding text,adding text,text in a text box <st> text that changes character size to fill the frame size <st> text that is added to any drawing object by double-clicking the object <st> text that is copied from a writer document <st> text that is inserted from a text document or html document,there are several types of text you can add to a drawing or presentation:,0
155,adding text,adding a text box,click the text icon and move the mouse pointer to where you want to enter the text box. <st> drag a text box to the size you want in your document. <st> type or paste your text into the text box.,text that is inserted from a text document or html document,1
156,adding text,fitting text to frames,"create a text box as described in the steps above. <st> with the text object selected, choose format - text . the text dialog opens. <st> on the text tab page, clear the fit height to text checkbox, then select the fit to frame checkbox. click ok . <st> now you can resize the text box to change the size and shape of the text characters.","double-click the text to edit it or to format text properties, such as font size or font color. click the border of the text box to edit the object properties, such as border color or arranging in front or behind other objects.",1
157,adding text,text tied to a graphic,"for example, click the arrow next to the callouts icon to open the callouts toolbar. <st> select a callout and move the mouse pointer to where you want the callout to start. <st> drag to draw the callout. <st> enter the text.",format - text,1
158,adding text,copying text,"select the text in your writer document. <st> copy the text to the clipboard ( edit - copy ). <st> click the page or slide where you want to paste the text. <st> paste the text using edit - paste or edit - paste special . using paste special , you can choose the text format to be pasted. depending on formats, you can copy different text attributes.",enter the text.,1
159,adding text,importing text,click the page or slide where you want to import the text. <st> choose insert - file . <st> select a text file (.txt) or an html file and click insert . the insert text dialog opens. click ok to insert the text.,paste special,1
160,"inserting, editing, saving bitmaps",inserting bitmaps,"choose insert - image - from file . <st> select the file. in the file type box you can restrict the selection to certain file types. <st> click the link box if you want a link to the original file. if the link box is marked, whenever the document is updated and loaded the bitmap image is reloaded. the editing steps that you have carried out in the local copy of the image in the document are re-applied and the image is displayed. if the link box is not marked, you are always working with the copy created when the graphic was first inserted. to embed graphics that were first inserted as links, go to edit - links and click the break link button. <st> click open to insert the image.","a bitmap image can be inserted in libreoffice writer, libreoffice calc, libreoffice draw and libreoffice impress documents.",1
161,"inserting, editing, saving bitmaps",the image dialog,"right-click the image and choose image from the submenu to open a properties dialog. <st> change the properties of the selected image, then click ok.",,1
162,"inserting, editing, saving bitmaps",saving bitmaps,"select the bitmap image. you can also select additional objects, such as text, to be exported with the image by pressing the shift key while selecting or by opening a selection frame around all objects. <st> choose file - export . the export dialog opens. the export command writes the image with all applied filter effects to a file. the save image command in the context menu saves the image without any filter effects, if the image was inserted as a linked image. an embedded image will always be saved or exported with filters applied. <st> in the file format field, select the file format you want, for example gif or jpeg. <st> if you only want to export the selected objects, mark the selection box. if selection is not marked, the entire page of the document is exported. <st> enter a name for the file and click export .",to export a bitmap in draw or impress:,1
163,copying formatting with the clone formatting tool,copying formatting with the clone formatting tool,"select the text or object whose formatting you want to copy. <st> on the standard bar , click the clone formatting icon. the cursor changes to a paint bucket. if you want to apply the formatting to more than one selection, double-click the clone formatting icon . after you apply all the formatting, click the icon again. <st> select or click the text or object that you want to apply the formatting to.",,1
164,applying filters,applying filters,"one use for the autofilter function is to quickly restrict the display to records with identical entries in a data field. <st> in the standard filter dialog, you can also define ranges which contain the values in particular data fields. you can use the standard filter to connect the conditions with either a logical and or a logical or operator. <st> the advanced filter allows up to a total of eight filter conditions. with advanced filters you enter the conditions directly into the sheet.",filters and advanced filters allow you to work on certain filtered rows (records) of a data range. in the spreadsheets in libreoffice there are various possibilities for applying filters.,0
165,defining a database range,defining a database range,"select the range of cells that you want to define as a database range. <st> choose data - define range . <st> in the name box, enter a name for the database range. <st> click more . <st> specify the options for the database range. <st> click ok .",to define a database range,1
166,saving documents in other formats,saving documents in other formats,"choose file - save as . you will see the save as dialog. <st> in the save as type or file type list box, select the desired format. <st> enter a name in the file name box and click save .",,1
167,resetting font attributes,resetting font attributes,"you can quickly exit manual formatting by pressing ctrl+shift+x. for example, if you have pressed ctrl+b to apply the bold typeface to the text that you type, press ctrl+shift+x to return to the default character format of the paragraph. <st> to reset all direct formatting of existing text, select that text, then choose the menu command format - clear direct formatting .",,0
168,using sections,using sections,to prevent text from being edited. <st> to show or hide text. <st> to reuse text and graphics from other libreoffice documents. <st> to insert sections of text that uses a different column layout than the current page style.,"sections are named blocks of text, including graphics or objects, that you can use in a number of ways:",0
169,shortcut keys for drawing objects,to create and edit a drawing object,"press f6 to navigate to the drawing bar. <st> press the right arrow key until you reach the toolbar icon of a drawing tool. <st> if there is an arrow next to the icon, the drawing tool opens a sub toolbar. press the up or down arrow key to open the sub toolbar, then press the right or left key to select an icon. <st> press command ctrl setsystemspan(""swlnidm45905037038560""); +enter . the object is created at the center of the current document. <st> to return to the document, press command ctrl setsystemspan(""swlnidm45905037033408""); +f6 . you can use the arrow keys to position the object where you want. to choose a command from the context menu for the object, press shift+f10 .",,1
170,shortcut keys for drawing objects,to select an object,"press command ctrl setsystemspan(""swlnidm45905037025600""); +f6 to enter the document. <st> press tab until you reach the object you want to select.",shift+f10,1
171,saving text documents in html format,saving text documents in html format,"apply one of the default libreoffice heading paragraph styles, for example, ""heading 1"", to the paragraphs where you want to generate a new html page. <st> choose file - send - create html document . <st> in the styles box, select the paragraph style that you want to use to generate a new html page. <st> enter a path and a name for the html document, and then click save .","when you save a text document in html format, any graphics in the document are saved into the html document as embedded data streams. libreoffice tries to keep the original format of graphics, i.e. jpeg pictures or svg images will be saved into html as such. all other graphic formats are saved as png.",1
172,inserting a chapter name and number in a header or a footer,to create a paragraph style for chapter titles,"choose tools - chapter numbering. <st> in the style box, select the paragraph style that you want to use for chapter titles, for example, ""heading 1"". <st> select the numbering style for the chapter titles in the number box, for example, ""1,2,3..."". <st> type ""chapter"" followed by a space in the before box. <st> enter a space in the after box. <st> click ok .","before you can insert chapter information into a header or footer, you must first set the chapter numbering options for the paragraph style that you want to use for chapter titles.",1
173,inserting a chapter name and number in a header or a footer,to insert the chapter name and number in a header or a footer,"apply the paragraph style that you defined for chapter titles to the chapter headings in your document. <st> choose insert - header and footer - header or insert - header and footer - footer , and then select the page style for the current page from the submenu. <st> click in the header or footer. <st> choose insert - field - more fields and click the document tab.",ok,1
174,inserting a chapter name and number in a header or a footer,to insert the chapter name and number in a header or a footer,"click ""chapter"" in the type list and ""chapter number and name"" in the format list. <st> click insert and then click close .",document,1
175,user-defined indexes,to create a user-defined index,select a word or words that you want to add to a user-defined index. <st> choose insert - table of contents and index - index entry . <st> click the new user-defined index button next to the index box. <st> type a name for the index in the name box and click ok . <st> click insert to add the selected word(s) to the new index. <st> click close .,you can create as many user-defined indexes as you want.,1
176,user-defined indexes,to insert a user-defined index,"click in the document where you want to insert the index. <st> choose insert - table of contents and index - table of contents, index or bibliography . <st> on the type tab, select the name of the user-defined index that you created in the type box. <st> select any options that you want. <st> click ok .",close,1
177,navigator for text documents,navigator for text documents,"to open the navigator , press f5. <st> to quickly jump to a location in your document, double-click an item listed in the navigator window or enter the respective page number in the spin box.","the navigator displays the different parts of your document, such as headings, tables, frames, objects, or hyperlinks.",1
178,defining borders for paragraphs,setting a predefined border style,"place the cursor in the paragraph for which you want to define a border. <st> choose format - paragraph - borders . <st> select one of the default border styles in the default area. <st> select a line style, width and color for the selected border style in the line area. these settings apply to all border lines that are included in the selected border style. <st> select the distance between the border lines and the paragraph contents in the padding area. you can only change distances to edges that have a border line defined. <st> click ok to apply the changes.",,1
179,defining borders for paragraphs,setting a customized border style,"choose format - paragraph - borders . <st> in the user-defined area select the edge(s) that you want to appear in a common layout. click on an edge in the preview to toggle the selection of an edge. <st> select a line style, width and color for the selected border style in the line area. these settings apply to all border lines that are included in the selected border style. <st> repeat the last two steps for every border edge. <st> select the distance between the border lines and the paragraph contents in the padding area. you can only change distances to edges that have a border line defined. <st> click ok to apply the changes.",ok,1
180,inserting a scanned image,inserting a scanned image,"click in the document where you want to insert the scanned image. <st> choose insert - media - scan , and choose the scanning source from the submenu. <st> follow the scanning instructions.","setsystemspan(""swlnidm45723776081936"");",1
181,assigning formats by formula,assigning formats by formula,"select all the desired cells. <st> select the menu command edit - find  replace . <st> for the find term, enter: .  ""."" is a regular expression that designates the contents of the current cell. <st> enter the following formula in the replace field: =+style(if(current()>3;""red"";""green"")) the """" symbol designates the current contents of the find field. the line must begin with an equal sign, since it is a formula. it is assumed that the cell styles ""red"" and ""green"" already exist. <st> mark the fields regular expressions and current selection only . click find all . all cells with contents that were included in the selection are now highlighted. <st> click replace all .",find  replace,1
182,inserting hyperlinks,inserting hyperlinks,"to jump to a specific line in a text document, first enter a bookmark at that position ( insert - bookmark ). <st> to jump to a cell in a spreadsheet, first enter a name for the cell ( sheet - named ranges and expressions - define ).",standard,0
183,applying a slide design to a master slide,to apply a new master slide,"to apply the slide design to all of the slides in your presentation, select the exchange background page check box, and then click ok . <st> to apply the slide design to the current slide only, clear the exchange background page check box, and then click ok .",do one of the following:,0
184,applying a slide design to a master slide,to apply a new master slide,"select slide - master slide design . <st> click load . <st> under categories , select a slide design category. <st> under templates , select a template with the design that you want to apply. to preview the template, click more , and then select the preview box. <st> click ok . <st> do one of the following: to apply the slide design to all of the slides in your presentation, select the exchange background page check box, and then click ok . to apply the slide design to the current slide only, clear the exchange background page check box, and then click ok .","every slide in a presentation has exactly one master slide, also known as master page. a master slide determines the text formatting style for the title and outline and the background design for all slides that use this master slide.",1
185,using rounded off numbers,to change this for selected cells,"mark all the cells you want to modify. <st> choose format - cells and go to the numbers tab page. <st> in the category field, select number . under options , change the number of decimal places and exit the dialog with ok.","in libreoffice calc, all decimal numbers are displayed rounded off to two decimal places.",1
186,using rounded off numbers,to change this everywhere,"choose libreoffice - preferences tools - options setsystemspan(""swlnidm45569094929312""); - libreoffice calc . <st> go to the calculate page. modify the number of decimal places and exit the dialog with ok.",decimal places,1
187,using rounded off numbers,to calculate with the rounded off numbers instead of the internal exact values,"choose libreoffice - preferences tools - options setsystemspan(""swlnidm45569094921840""); - libreoffice calc . <st> go to the calculate page. mark the precision as shown field and exit the dialog with ok.",decimal places,1
188,changing the default template,to create a default template,"create a document and the content and formatting styles that you want. <st> choose file - templates - save as template . <st> in the new template box, type a name for the new template. <st> in the dialog that appears, double-click the ""my templates"" folder, and then click save . you will then be prompted for a name; write it and click ok . <st> choose file - new - templates . <st> double-click the ""my templates"" folder. <st> click on the template that you created, and click set as default . <st> close the dialog.","the default template contains the default formatting information for new text documents. if you want, you can create a new template and use it as the default template.",1
189,defining borders for objects,to set a predefined border style,select the object for which you want to define a border. <st> click the borders icon on the ole-object toolbar or frame toolbar to open the borders window. <st> click one of the predefined border styles. this replaces the current border style of the object with the selected style.,"in writer, you can define borders around ole objects, plug-ins, diagramscharts, graphics and frames. the name of the menu to be used depends on the object selected.",1
190,defining borders for objects,to set a customized border style,select the table cells that you want to modify. <st> choose format - (object name) – borders . replace (object name) with the actual name of the object type you selected. <st> in the user-defined area select the edge(s) that you want to appear in a common layout. click on an edge in the preview to toggle the selection of an edge. <st> select a line style and color for the selected border style in the line area. these settings apply to all border lines that are included in the selected border style. <st> repeat the last two steps for every border edge. <st> select the distance between the border lines and the page contents in the padding area. <st> click ok to apply the changes.,click one of the predefined border styles. this replaces the current border style of the object with the selected style.,1
191,defining number ranges,defining number ranges,"type a number in the value box, or leave the box empty to use automatic numbering. <st> select the outline level where you want the numbering to restart in the level box.",do one of the following:,0
192,defining number ranges,defining number ranges,"type the text that you want to assign numbering to, for example, ""quotation number "". <st> choose insert - field - more fields , and then click the variables tab. <st> click ""number range"" in the type list. <st> type ""quotation"" in the name box. <st> do one of the following: type a number in the value box, or leave the box empty to use automatic numbering. select the outline level where you want the numbering to restart in the level box. <st> click insert , and then click close .","you can automatically number similar items, such as quotations, in your document.",1
193,converting text to numbers,converting text to numbers,"ccyy-mm-dd <st> ccyy-mm-ddthh:mm <st> ccyy-mm-ddthh:mm:ss <st> ccyy-mm-ddthh:mm:ss,s <st> ccyy-mm-ddthh:mm:ss.s <st> hh:mm <st> hh:mm:ss <st> hh:mm:ss,s <st> hh:mm:ss.s",the following iso 8601 formats are converted:,0
194,printing faster with reduced data,printing faster with reduced data,"choose libreoffice - preferences tools - options setsystemspan(""swlnidm45050339350384""); - libreoffice - print . <st> click one of the following settings options: printer - to define options for reducing data while printing directly to a printer print to file - to define options for reducing data while printing to a file <st> select any combination of the four options, then click ok . all documents that you print from now on will use the changed options. <st> print your document.",you can decide to reduce the data necessary to print your document. the settings can be defined differently for printing directly to the printer or for printing to a file.,1
195,adding chapter numbers to captions,adding chapter numbers to captions,"select the item that you want to add a caption to. <st> choose insert - caption . <st> select a caption title from the category box, and select a numbering style in the numbering box. you also can enter a caption text in this dialog. if you want, enter text in the caption box. <st> click options . <st> in the level box, select the number of heading levels to include in the chapter number. <st> type the character that you want to separate the chapter number(s) from the caption number in the separator box, and then click ok . <st> in the caption dialog, click ok .","ensure that the text in your document is organized by chapters, and that the chapter titles and, if you want, the section titles, use one of the predefined heading paragraph styles. you must also assign a numbering option to the heading paragraph styles.",1
196,inserting cross-references,to insert a target,"select the text that you want to use as a target for the cross-reference. <st> choose insert - cross-reference . <st> in the type list, select 'set reference'. <st> type a name for the target in the name box. the selected text is displayed in the value box. <st> click insert . the name of the target is added to the selection list.","before you can insert a cross-reference, you must first specify the targets in your text.",1
197,inserting cross-references,to create a cross-reference to a target,"position the cursor in the text where you want to insert a cross-reference. <st> choose insert - cross-reference to open the dialog, if it is not open already. <st> in the type list, select ""insert reference"". <st> in the selection list, select the target that you want to cross-reference. <st> in the insert reference to list, select the format for the cross-reference. the format specifies the type of information that is displayed as the cross-reference. for example, ""reference"" inserts the target text, and ""page"" inserts the page number where the target is located. for footnotes the footnote number is inserted. <st> click insert . <st> click close when finished.",leave the dialog open and proceed to the next section.,1
198,inserting cross-references,cross-referencing an object,"click in the document where you want to insert the cross-reference. <st> choose insert - cross-reference . <st> in the type list, select the caption category of the object. <st> in the selection list, select the caption number of the object that you want to cross-reference. <st> in the insert reference to list, select the format of the cross-reference. the format specifies the type of information that is displayed as the cross-reference. for example, ""reference"" inserts the caption category and caption text of the object. <st> click insert . <st> click close when finished.",insert - caption,1
199,defining borders for tables and table cells,setting a predefined border style,select the table cells that you want to modify. <st> click the borders icon on the table toolbar (writer) or on the line and filling bar to open the borders window. <st> click one of the predefined border styles. this adds the selected style to the current border style of the table cells. select the blank border style at the top left of the borders window to clear all border styles.,,1
200,defining borders for tables and table cells,setting a customized border style,"select the table cells that you want to modify. <st> choose table - properties - borders (writer) or format - cells - borders (calc). <st> in the user-defined area select the edge(s) that you want to appear in a common layout. click on an edge in the preview to toggle the selection of an edge. <st> if you select more than one row or column, you can change the middle lines between rows or columns. select the middle markers in the user-defined area. <st> select a line style and color for the selected border style in the line area. these settings apply to all border lines that are included in the selected border style. <st> repeat the last two steps for every border edge. <st> select the distance between the border lines and the page contents in the padding area. <st> click ok to apply the changes.",borders,1
201,"selecting tables, rows, and columns","selecting tables, rows, and columns","to select a table with the keyboard, move the cursor into the table, and then press command ctrl setsystemspan(""swlnidm45005162506352""); +a until all the cells are selected. <st> to select a table with the mouse, move the mouse pointer to a position just above and left of the table. the mouse pointer becomes a diagonal arrow. click to select the table. <st> to select a row or column with the mouse, point to a position just left of the row or above the column. the mouse pointer becomes an arrow. click to select the row or column.",you can select a table in a text document with a keyboard or with a mouse.,0
