,Page_title,Subtitle,Lists,Context,List_tags
128,Edit contact details,Edit contact details,"Select the contact from your contact list. <st> Press Edit in the top-right corner of Contacts . <st> Edit the contact details. To add a detail such as a new phone number or email
      address, press New Detail and select the field
      that you want to add. <st> Press Done to finish editing the
      contact.","Editing contact details helps you keep the information in your address
  book up to date and complete.",1
129,Check how much disk space is left,Check with Disk Usage Analyzer,"Open Disk Usage Analyzer from the Activities overview. The window will display a list of file locations together with
      the usage and capacity of each. <st> Click one of the items in the list to view a detailed summary of the
      usage for that item. Click the menu button, and then Scan
      Folder… or Scan Remote Folder… to scan a different
      location.","Disk Usage
  Analyzer",0
130,Check how much disk space is left,What if the disk is too full?,"Delete files that aren’t important or that you won’t use anymore. <st> Make backups of the important files that
   you won’t need for a while and delete them from the hard drive.",If the disk is too full you should:,0
131,Check how much disk space is left,More Information,"Disks & storage — Disk space , performance , problems , volumes and partitions …",More Information,0
132,Check how much disk space is left,Check with System Monitor,"Open the System Monitor application from the Activities overview. <st> Select the File Systems tab to view the system’s partitions and
  disk space usage.  The information is displayed according to Total , Free , Available and Used .",System Monitor,1
133,Why does my screen go dim after a while?,More Information,"Power saving settings <st> Screen problems — 
      Troubleshoot screen and graphics problems.",More Information,0
134,Why does my screen go dim after a while?,See Also,"Set screen blanking time — Change the screen blanking time to save power. <st> Set screen brightness — Change the screen brightness to make it more readable in bright
    light. <st> Use less power and improve battery life — Tips to reduce the power consumption of your computer.",See Also,0
135,Why does my screen go dim after a while?,Why does my screen go dim after a while?,"Open the Activities overview and start typing Power . <st> Click Power to open the panel. <st> Switch Dim screen when inactive to OFF in the Power
      Saving section.",To stop the screen from dimming itself:,1
136,Change the sound volume,More Information,"Basic sound — Volume , speakers and headphones , microphones …",More Information,0
137,Change the sound volume,Changing the sound volume for individual applications,"Open the Activities overview and start typing Sound . <st> Click on Sound to open the panel. <st> Go to the Applications tab and change the volume of the
      application listed there. Only applications that are playing sounds are listed. If an
    application is playing sounds but is not listed, it might not support the
    feature that lets you control its volume in this way. In such case, you
    cannot change its volume.","Some applications have volume controls in their main windows. If your
  application has its volume control, use that to change the volume. If not:",1
138,Switch between windows,More Information,Applications and windows <st> Working with windows,More Information,0
139,Switch between windows,See Also,A tutorial on switching tasks <st> A tutorial on using windows and workspaces,See Also,0
140,Switch between windows,Switch between windows,"Press Super + Tab to bring up the window switcher . <st> Release Super to select the next
      (highlighted) window in the switcher. <st> Otherwise, still holding down the Super key, press Tab to cycle through the list of open
      windows, or Shift + Tab to cycle
      backwards.",From a workspace:,1
141,Tile windows,More Information,Working with windows,More Information,0
142,Tile windows,See Also,"Maximize and unmaximize a window — Double-click or drag a titlebar to maximize or restore a
    window.",See Also,0
143,Set the display name for your computer,More Information,"Sharing Settings — Bluetooth sharing , Personal file sharing , Screen sharing , Media sharing …",More Information,0
144,Set the display name for your computer,Change the display name of your computer:,"Open the Activities overview and
      start typing Sharing . <st> Click on Sharing to open the panel. <st> Edit the text below Computer Name to change the name your
      computer displays on the network.",Change the display name of your computer:,1
145,Change which language you use,More Information,"Region & Language — Language , region and formats , keyboard layouts …",More Information,0
146,Change which language you use,See Also,"Change date and measurement formats — Choose a region used for date and time, numbers, currency,
    and measurement.",See Also,0
147,Change which language you use,Change which language you use,"Open the Activities overview and
      start typing Region & Language . <st> Click on Region & Language to open the panel. <st> Click Language . <st> Select your desired region and language. If your region and language
      are not listed, click at the bottom of the list to select from all available regions and
      languages. <st> Click Done to save. <st> Respond to the prompt, Your session needs to be restarted for
      changes to take effect by clicking Restart Now , or click × to restart later.","You can use your desktop and applications in any of dozens of languages,
  provided you have the proper language packs installed on your computer.",1
148,Turn off or limit file history tracking,More Information,"More file-related tasks <st> Privacy Settings — Screen lock , Usage history , Purge trash & temporary files …",More Information,0
149,Turn off or limit file history tracking,Turn off file history tracking,"Open the Activities overview and
      start typing Privacy . <st> Click on Privacy to open the panel. <st> Select Usage & History . <st> Set the Recently Used switch to OFF . To re-enable this feature, set the Recently Used switch to ON . <st> Use the Clear Recent History button to purge the history
      immediately.",Turn off file history tracking,1
150,Turn off or limit file history tracking,Restrict the amount of time your file history is tracked,"Open the Activities overview and
      start typing Privacy . <st> Click on Privacy to open the panel. <st> Select Usage & History . <st> Ensure the Recently Used switch is ON . <st> Select the length of time to Retain History . Choose from
     options 1 day , 7 days , 30 days , or Forever . <st> Use the Clear Recent History button to purge the history
      immediately.",Restrict the amount of time your file history is tracked,1
151,Why do I need to do calibration myself?,More Information,Calibration,More Information,0
152,Why do I need to do calibration myself?,See Also,Can I get notified when my color profile is inaccurate? — You can be notified if your color profile is old and inaccurate. <st> How do I assign profiles to devices? — Look in Settings ▸ Color to add a color profile for your screen. <st> Where do I get color profiles? — Color profiles are provided by vendors and can be generated yourself.,See Also,0
153,Missing information for whole-screen color correction?,More Information,Problems,More Information,0
154,Missing information for whole-screen color correction?,See Also,Where do I get color profiles? — Color profiles are provided by vendors and can be generated yourself.,See Also,0
155,Use the tablet left-handed,More Information,"Wacom Graphics Tablet — Map a monitor , configure the stylus , use the tablet left handed …",More Information,0
156,Use the tablet left-handed,Use the tablet left-handed,"Open the Activities overview and
    start typing Wacom Tablet . <st> Click on Wacom Tablet to open the panel. If no tablet is detected, you’ll be asked to Please plug in or turn on your Wacom tablet . Click the Bluetooth Settings link to connect a wireless tablet. <st> Switch Left-Handed Orientation to ON .","Some tablets have hardware buttons on one side. The tablet can be rotated
   180 degrees to position these buttons for left-handed people. To switch the
   orientation to left-handed:",1
157,How do I enable restricted codecs to play DVDs?,More Information,Videos,More Information,0
158,How do I enable restricted codecs to play DVDs?,See Also,"Why won’t DVDs play? — You might not have the right codecs installed, or the DVD might be
    the wrong region.",See Also,0
159,How do I enable restricted codecs to play DVDs?,Use alternative decryption software,"Install libdvdnav4 , libdvdread4 , gstreamer1.0-plugins-bad , gstreamer1.0-plugins-ugly , and libdvd-pkg . <st> Open a terminal window by pressing Ctrl + Alt + T . <st> Run the command sudo dpkg-reconfigure libdvd-pkg and confirm in order to install libdvdcss2 .","In some countries, the use of the below unlicensed decryption software is not permitted by law. Verify that you are within your rights to use it.",1
160,Print two-sided and multi-page layouts,More Information,Different paper sizes and layouts,More Information,0
161,Print two-sided and multi-page layouts,Print two-sided and multi-page layouts,"Open the print dialog by pressing Ctrl + P . <st> Go to the Page Setup tab of the Print window and choose an
      option from the Two-sided drop-down list. If the option is
      disabled, two-sided printing is not available for your printer. Printers handle two-sided printing in different ways. It is a good
      idea to experiment with your printer to see how it works. <st> You can print more than one page of the document per side of
      paper too. Use the Pages per side option to do this.",To print on both sides of each sheet of paper:,1
162,What happens when I suspend my computer?,More Information,"Power & battery — Battery status , suspend , screen dimming …",More Information,0
163,What happens when I suspend my computer?,See Also,"Set up automatic suspend — Configure your computer to suspend automatically. <st> Suspend <st> Use less power and improve battery life — Tips to reduce the power consumption of your computer. <st> Why does my computer not turn back on after I suspended it? — Some computer hardware causes problems with suspend. <st> Why does my computer turn off when I close the lid? — Laptops go to sleep when you close the lid, in order to save
    power.",See Also,0
164,"Why are there streaks, lines or the wrong colors on my
  print-outs?",More Information,"Printer problems — Undetected printers, paper jams, print-outs that look wrong…",More Information,0
165,"Why are there streaks, lines or the wrong colors on my
  print-outs?",See Also,How can I check my printer’s ink or toner levels? — Check the amount of ink or toner left in printer cartridges.,See Also,0
166,My new iPod won’t work,More Information,Music and players,More Information,0
167,Share your personal files,More Information,"Sharing — Desktop sharing , Share files by email , Media sharing … <st> Sharing Settings — Bluetooth sharing , Personal file sharing , Screen sharing , Media sharing …",More Information,0
168,Share your personal files,Share your personal files,"Open the Activities overview and
      start typing Sharing . <st> Click on Sharing to open the panel. <st> If Sharing is OFF , switch it to ON . If the text below Computer Name allows
      you to edit it, you can change the name your computer displays on the network. <st> Select Personal File Sharing . <st> Switch Personal File Sharing to ON . This means
      that other people on your current network will be able to attempt to
      connect to your computer and access files in your Public folder. A URI is displayed by which your Public folder
        can be accessed from other computers on the network.",Install gnome-user-share,1
169,Set the Wacom tablet’s tracking mode,More Information,"Wacom Graphics Tablet — Map a monitor , configure the stylus , use the tablet left handed …",More Information,0
170,Set the Wacom tablet’s tracking mode,Set the Wacom tablet’s tracking mode,"Open the Activities overview and
    start typing Wacom Tablet . <st> Click on Wacom Tablet to open the panel. If no tablet is detected, you’ll be asked to Please plug in or turn on your Wacom tablet . Click the Bluetooth Settings link to connect a wireless tablet. <st> Next to Tracking Mode , select Tablet (absolute) or Touchpad (relative) .",Tracking Mode,1
171,What is a MAC address?,More Information,"Networking terms & tips — Find your IP address , WEP & WPA security , MAC addresses , proxies …",More Information,0
172,What is a MAC address?,What is a MAC address?,"Open the Activities overview and
      start typing Network . <st> Click on Network to open the panel. <st> Choose which device, Wi-Fi or Wired , from
      the left pane. The MAC address for the wired device will be displayed as the Hardware Address on the right. Click the button to see the MAC address for the wireless device displayed as the Hardware Address in the Details panel.",To identify the MAC address of your own network hardware:,1
173,Wipe everything off a removable disk,More Information,"Disks & storage — Disk space , performance , problems , volumes and partitions …",More Information,0
174,Wipe everything off a removable disk,Format a removable disk,"Open Disks from the Activities overview. <st> Select the disk you want to wipe from the list of storage devices on the
    left. Make sure that you have selected the correct disk! If you choose the
      wrong disk, all of the files on the other disk will be deleted! <st> In the toolbar underneath the Volumes section, click the
    menu button. Then click Format… . <st> In the window that pops up, choose a file system Type for the
    disk. If you use the disk on Windows and Mac OS computers in addition to Linux
   computers, choose FAT . If you only use it on Windows, NTFS may be a better option. A brief description of the file system type will be presented as a label. <st> Give the disk a name and click Format… to continue and show a
    confirmation window. Check the details carefully, and click Format to wipe the disk. <st> Once the formatting has finished, click the eject icon to safely remove
    the disk. It should now be blank and ready to use again.",Format a removable disk,1
175,Use a different microphone,More Information,"Basic sound — Volume , speakers and headphones , microphones …",More Information,0
176,Use a different microphone,See Also,"Use different speakers or headphones — Connect speakers or headphones and select a default audio output
    device.",See Also,0
177,Use a different microphone,Select a default audio input device,"Open the Activities overview and
      start typing Sound . <st> Click on Sound to open the panel. <st> In the Input tab, select the device that you want to use.
      The input level indicator should respond when you speak.",Select a default audio input device,1
178,How can I use Skype on Ubuntu?,How can I use Skype on Ubuntu?,"Open your web browser and go to the Download Skype page. <st> Click the Get Skype for Linux DEB button. <st> In the window which shows up, select Open with and Software
      Install (default) , and then click the OK button. <st> Ubuntu Software is opened. Click the Install button and authenticate.",Skype for Linux,0
179,How can I use Skype on Ubuntu?,More Information,"Chat & Social Networking — Chat on any network using Empathy , make video calls , install skype",More Information,0
180,How can I use Skype on Ubuntu?,See Also,Video calls — What applications can I use to make video calls?,See Also,0
181,File manager preview preferences,More Information,File manager preferences — View and set preferences for the file browser.,More Information,0
182,File manager preview preferences,See Also,"Preview files and folders — Quickly show and hide previews for documents, images, videos, and
    more.",See Also,0
183,Adjust the size of a filesystem,More Information,"Disks & storage — Disk space , performance , problems , volumes and partitions …",More Information,0
184,Adjust the size of a filesystem,Resize a filesystem/partition,"Open Disks from the Activities overview. <st> Select the disk containing the filesystem in question from the list
       of storage devices on the left. If there is more than one volume on
       the disk, select the volume which contains the filesystem. <st> In the toolbar underneath the Volumes section, click the
       menu button. Then click Resize Filesystem… or Resize… if there is no filesystem. <st> A dialog will open where the new size can be chosen. The filesystem will
       be mounted to calculate the minimum size by the amount of current
       content. If shrinking is not supported the minimum size is the current
       size. Leave enough space within the filesystem when shrinking to ensure
       that it can work fast and reliably. Depending on how much data has to be moved from the shrunk part, the
       filesystem resize may take longer time. The filesystem resize automatically involves repairing of the filesystem. Therefore
         it is advised to back up important data before starting. The action
         must not be stopped or it will result in a damaged filesystem. <st> Confirm to start the action by clicking Resize . The action will unmount the filesystem if resizing a mounted filesystem
      is not supported. Be patient while the filesystem is resized. <st> After completion of the needed resize and repair actions the filesystem
       is ready to be used again.",Resize a filesystem/partition,1
185,The internet seems slow,The internet seems slow,"Busy time of day Internet service providers commonly setup internet connections so that
      they are shared between several households. Even though you connect
      separately, through your own phone line or cable connection, the
      connection to the rest of the internet at the telephone exchange might
      actually be shared. If this is the case and lots of your neighbors are
      using the internet at the same time as you, you might notice a slow-down.
      You’re most likely to experience this at times when your neighbors are
      probably on the internet (in the evenings, for example). <st> Downloading lots of things at once If you or someone else using your internet connection are downloading
      several files at once, or watching videos, the internet connection might
      not be fast enough to keep up with the demand. In this case, it will feel
      slower. <st> Unreliable connection Some internet connections are just unreliable, especially temporary
      ones or those in high demand areas. If you are in a busy coffee shop or a
      conference center, the internet connection might be too busy or simply
      unreliable. <st> Low wireless connection signal If you’re connected to the internet by wireless (wifi), check the
      network icon on the top bar to see if you have good wireless signal. If
      not, the internet may be slow because you don’t have a very strong
      signal. <st> Using a slower mobile internet connection If you have a mobile internet connection and notice that it is slow,
      you may have moved into an area where signal reception is poor. When this
      happens, the internet connection will automatically switch from a fast
      “mobile broadband” connection like 3G to a more reliable, but slower,
      connection like GPRS. <st> Web browser has a problem Sometimes web browsers encounter a problem that makes them run slow.
      This could be for any number of reasons — you could have visited a
      website that the browser struggled to load, or you might have had the
      browser open for a long time, for example. Try closing all of the
      browser’s windows and then opening the browser again to see if this makes
      a difference.","Try closing your web browser and then re-opening it, and disconnecting
  from the internet and then reconnecting again. (Doing this resets a lot of
  things that might be causing the internet to run slowly.)",0
186,The internet seems slow,More Information,"Network problems — Troubleshooting wireless connections , finding your wifi network …",More Information,0
187,Manually set network settings,More Information,"Wired Networking — Wired internet connections , Fixed IP addresses … <st> Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
188,Manually set network settings,To manually set your network settings:,"Open the Activities overview and start typing Settings . <st> Click on Settings . <st> In the left pane, select the network connection that you want to set
      up manually. If you plug in to the network with a cable, click Network . Otherwise click Wi-Fi . Make sure that your wireless card is turned on or a network cable is
      plugged in. <st> Click the button. For a Wi-Fi connection, the button will be located next to the active network. <st> Click on IPv4 or IPv6 in the left pane
      and change the Addresses to Manual . <st> Type in the IP Address and Gateway , as well as the appropriate Netmask . <st> In the DNS section, switch Automatic to OFF . Enter the IP address of a DNS server you want to use.
      Enter additional DNS server addresses using the + button. <st> In the Routes section, switch Automatic to OFF . Enter the Address , Netmask , Gateway and Metric for a route you want to use.
      Enter additional routes using the + button. <st> Click Apply . If you are not connected to the network, click
      the system status area on the top bar and connect. Test the network
      settings by trying to visit a website or look at shared files on the
      network, for example.",To manually set your network settings:,1
189,Which target types are supported?,Which target types are supported?,CMP DigitalTarget <st> ColorChecker 24 <st> ColorChecker DC <st> ColorChecker SG <st> i1 RGB Scan 14 <st> LaserSoft DC Pro <st> QPcard 201 <st> IT8.7/2,"
    The following types of targets are supported:
  ",0
190,Which target types are supported?,More Information,Calibration,More Information,0
191,Which target types are supported?,See Also,How do I calibrate my camera? — Calibrating your camera is important to capture accurate colors. <st> How do I calibrate my scanner? — Calibrating your scanner is important to capture accurate colors.,See Also,0
192,How can I check my printer’s ink or toner levels?,More Information,"Printing — Local setup , order and collate , two-sided and multi-page …",More Information,0
193,How can I check my printer’s ink or toner levels?,See Also,"Why are there streaks, lines or the wrong colors on my
  print-outs? — If print-outs are streaky, fading, or missing colors, check your ink
    levels or clean the print head.",See Also,0
194,Move and resize windows,Move and resize windows,"Move a window by dragging the titlebar, or hold down Super and drag anywhere in the
      window. Hold down Shift while moving to snap the window to the
      edges of the screen and other windows. <st> Resize a window by dragging the edges or corner of the window. Hold
      down Shift while resizing to snap the window to the edges
      of the screen and other windows. <st> Move or resize a window using only the keyboard. Press Alt + F7 to move a window or Alt + F8 to resize. Use the arrow
      keys to move or resize, then press Enter to finish, or press Esc to return to the original position and size. <st> Maximize a window by
      dragging it to the top of the screen. Drag a window to one side of the
      screen to maximize it along the side, allowing you to tile windows side by side .","You can move and resize windows to help you work more efficiently. In
  addition to the dragging behavior you might expect, GNOME features shortcuts
  and modifiers to help you arrange windows quickly.",0
195,Move and resize windows,More Information,Working with windows,More Information,0
196,Turn off wireless (airplane mode),More Information,"Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
197,Turn off wireless (airplane mode),Turn off wireless (airplane mode),"Open the Activities overview and
      start typing Network . <st> Click on Network to open the panel. <st> Switch Airplane Mode to ON . This will turn off
      your wireless connection until you disable airplane mode again.",To turn on airplane mode:,1
198,Online services and applications,More Information,"Online accounts — Add an online account , Remove an account , Learn about services …",More Information,0
199,Online services and applications,See Also,"Control which online services an account can be used to access — Some online accounts can be used to access multiple services (like
    calendar and email). You can control which of these services can be used by
    applications.",See Also,0
200,Enable automatic brightness,More Information,Power saving settings,More Information,0
201,Enable automatic brightness,See Also,"Set screen brightness — Change the screen brightness to make it more readable in bright
    light.",See Also,0
202,Enable automatic brightness,Enable automatic brightness,"Open the Activities overview and start typing Power . <st> Click Power to open the panel. <st> In the Power Saving section, ensure that Automatic brightness is set to ON .","If your computer has an integrated light sensor, it can be used to
  automatically control screen brightness. This ensures that the screen is
  always easy to see in different ambient light conditions, and helps to reduce
  battery consumption.",1
203,How to back up,How to back up,"Files that are already backed up somewhere else, such as to a CD, DVD,
 or other removable media. <st> Files that you can recreate easily. For example, if you are a
 programmer, you do not have to back up the files that get produced when you
 compile your programs. Instead, just make sure that you back up the original
 source files. <st> Any files in the Trash folder. Your Trash folder can be found in ~/.local/share/Trash .","The amount of data you can back up is limited by the size of the storage
 device. If you have the room on your backup device, it is best to back up the
 entire Home folder with the following exceptions:",0
204,How to back up,More Information,"Back up your important files — Why, what, where and how of backups.",More Information,0
205,Make pages print in a different order,More Information,Different paper sizes and layouts,More Information,0
206,Make pages print in a different order,To reverse the order:,"Press Ctrl + P to open the Print
        dialog. <st> In the General tab, under Copies , check Reverse . The last page will be printed first, and so on.",To reverse the order:,1
207,Make pages print in a different order,To collate:,"Press Ctrl + P to open the Print
     dialog. <st> In the General tab, under Copies , check Collate .",To collate:,1
208,File manager display preferences,More Information,File manager preferences — View and set preferences for the file browser.,More Information,0
209,Why is color management important?,More Information,"Color management — Why is this important , Color profiles , How to calibrate a device …",More Information,0
210,Adjust speed of the mouse and touchpad,More Information,"Mobility impairments <st> Mouse — Left-handed , speed and sensitivity , touchpad clicking and scrolling …",More Information,0
211,Adjust speed of the mouse and touchpad,Adjust speed of the mouse and touchpad,"Open the Activities overview and
      start typing Mouse & Touchpad . <st> Click on Mouse & Touchpad to open the panel. <st> Adjust the Pointer Speed slider until the pointer motion
      is comfortable for you. You will see one slider per each pointing device,
      such as mouse or touchpad.","If your pointer moves too fast or slow when you move your mouse or use
  your touchpad, you can adjust the pointer speed for these devices.",1
212,Media card reader problems,More Information,Hardware problems <st> Photos,More Information,0
213,Media card reader problems,Media card reader problems,"Make sure that the card is put in correctly. Many cards look as though they are
upside down when correctly inserted. Also make sure that the card is firmly seated
in the slot; some cards, especially CF, require a small amount of force to insert
correctly. (Be careful not to push too hard! If you come up against something solid,
do not force it.) <st> Open Files from the Activities overview. Does the inserted
  card appear in the Devices list in the left sidebar? Sometimes the
  card appears in this list but is not mounted; click it once to mount. (If the
  sidebar is not visible, press F9 or click Files in
  the top bar and select the Sidebar .) <st> If your card does not show up in the sidebar, press Ctrl + L , then type computer:/// and press Enter . If your card reader
  is correctly configured, the reader should come up as a drive when no card is
  present, and the card itself when the card has been mounted. <st> If you see the card reader but not the card, the problem may be with the card itself.
Try a different card or check the card on a different reader if possible.",mounted,1
214,Can I get notified when my color profile is inaccurate?,More Information,Problems,More Information,0
215,Can I get notified when my color profile is inaccurate?,See Also,Why do I need to do calibration myself? — Calibrating is important if you care about the colors you display or print.,See Also,0
216,What to back up,More Information,"Back up your important files — Why, what, where and how of backups.",More Information,0
217,Instant messaging on Ubuntu,More Information,"Chat & Social Networking — Chat on any network using Empathy , make video calls , install skype",More Information,0
218,Instant messaging on Ubuntu,See Also,Video calls — What applications can I use to make video calls?,See Also,0
219,Why add an account?,More Information,"Online accounts — Add an online account , Remove an account , Learn about services …",More Information,0
220,Other users can’t edit the network connections,More Information,"Network problems — Troubleshooting wireless connections , finding your wifi network …",More Information,0
221,Other users can’t edit the network connections,See Also,"How do administrative privileges work? — You need administrative privileges to change important parts of your
    system. <st> Other users can’t connect to the internet — You can save settings (like the password) for a network connection so that everyone who uses the computer will be able to connect to it.",See Also,0
222,Other users can’t edit the network connections,Other users can’t edit the network connections,"Open the Activities overview and
      start typing Network . <st> Click on Network to open the panel. <st> Select Wi-Fi from the list on the left. <st> Click the button to open the connection
      details. <st> Select Identity from the pane on the left. <st> At the bottom of the Identity panel, check the Make
      available to other users option to allow other users to use the
      network connection. <st> Press Apply to save the changes.",connect,1
223,Why don’t the default monitor profiles have a calibration expiry?,More Information,Problems <st> Where do I get color profiles? — Color profiles are provided by vendors and can be generated yourself. <st> Why do I need to do calibration myself? — Calibrating is important if you care about the colors you display or print.,More Information,0
224,I can’t see my wireless network in the list,I can’t see my wireless network in the list,"If no networks are shown in the list, your wireless hardware could be
  turned off, or it may not be
  working properly . Make sure it is turned on. <st> You could be out of range of the network. Try moving closer to the
  wireless base station/router and see if the network appears in the list after
  a while. <st> The list of wireless networks takes time to update. If you have just
  turned on your computer or moved to a different location, wait for a minute
  or so and then check if the network has appeared in the list. <st> The network could be hidden. You need to connect in a different way if it is a
  hidden network.","There are a number of reasons why you might not be able to see your
  wireless network on the list of available networks from the system menu.",0
225,I can’t see my wireless network in the list,More Information,"Network problems — Troubleshooting wireless connections , finding your wifi network … <st> Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
226,I can’t see my wireless network in the list,See Also,"Connect to a hidden wireless network — Connect to a wireless network that is not displayed in the network
    list.",See Also,0
227,Check your hard disk for problems,More Information,"Disks & storage — Disk space , performance , problems , volumes and partitions …",More Information,0
228,Check your hard disk for problems,Check your disk’s health using the Disks application,"Open Disks from the Activities overview. <st> Select the disk you want to check from the list of storage devices on
    the left. Information and status of the disk will be shown. <st> Click the menu button and select SMART Data & Self-Tests… .
    The Overall Assessment should say “Disk is OK”. <st> See more information under SMART Attributes , or click the Start Self-test button to run a self-test.",Check your disk’s health using the Disks application,1
229,What do WEP and WPA mean?,More Information,"Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
230,Problems caused by administrative restrictions,Problems caused by administrative restrictions,"connecting to networks or wireless networks, <st> viewing the contents of a different disk partition (for example, a
      Windows partition), or <st> installing new applications.",administrative privileges,0
231,Problems caused by administrative restrictions,More Information,User privileges,More Information,0
232,Problems caused by administrative restrictions,See Also,"Change who has administrative privileges — You can allow users to make changes to the system by giving them
    administrative privileges. <st> How do administrative privileges work? — You need administrative privileges to change important parts of your
    system.",See Also,0
233,Set up a local printer,More Information,Set up a printer,More Information,0
234,Set up a local printer,See Also,Set the default printer — Pick the printer that you use most often.,See Also,0
235,Set up a local printer,Set up a local printer,"Make sure the printer is turned on. <st> Connect the printer to your system via the appropriate cable. You may
      see activity on the screen as the system searches for drivers, and you
      may be asked to authenticate to install them. <st> A message will appear when the system is finished installing the
      printer. Select Print Test Page to print a test page, or Options to make additional changes in the printer setup.","You do not need to select whether you want to install a network or local
    printer now. They are listed in one window.",1
236,Set up a local printer,Set up a local printer,"Open the Activities overview and
      start typing Printers . <st> Click Printers . <st> Click the Unlock button in the top-right corner and enter
      your password. <st> Click the + button. <st> In the pop-up window, select your new printer. Click Add .","If your printer was not set up automatically, you can add it in the
  printer settings:",1
237,Choose a secure password,Choose a secure password,"Use a mixture of upper-case and lower-case letters, numbers, symbols
      and spaces in the password. This makes it more difficult to guess; there
      are more symbols from which to choose, meaning more possible passwords
      that someone would have to check when trying to guess yours. A good method for choosing a password is to take the first letter of
        each word in a phrase that you can remember. The phrase could be the
        name of a movie, a book, a song or an album. For example, “Flatland: A
        Romance of Many Dimensions” would become F:ARoMD or faromd or f:
        aromd. <st> Make your password as long as possible. The more characters it
      contains, the longer it should take for a person or computer to guess
      it. <st> Do not use any words that appear in a standard dictionary in any
      language. Password crackers will try these first. The most common
      password is “password” — people can guess passwords like this very
      quickly! <st> Do not use any personal information such as a date, license plate
      number, or any family member’s name. <st> Do not use any nouns. <st> Choose a password that can be typed quickly, to decrease the chances
      of someone being able to make out what you have typed if they happen to
      be watching you. Never write your passwords down anywhere. They can be easily
        found! <st> Use different passwords for different things. <st> Use different passwords for different accounts. If you use the same password for all of your accounts, anyone who
      guesses it will be able to access all of your accounts immediately. It can be difficult to remember lots of passwords, however. Though not
      as secure as using a different passwords for everything, it may be easier
      to use the same one for things that do not matter (like websites), and
      different ones for important things (like your online banking account and
      your email). <st> Change your passwords regularly.","People could even use computers to systematically try to guess your
  password, so even one that would be difficult for a human to guess might be
  extremely easy for a computer program to crack. Here are some tips for
  choosing a good password:",0
238,Choose a secure password,More Information,Passwords,More Information,0
239,Choose a secure password,See Also,"Change your password — Keep your account secure by changing your password often in your
    account settings.",See Also,0
240,Why is my account type not on the list?,More Information,"Online accounts — Add an online account , Remove an account , Learn about services …",More Information,0
241,Will my computer work with a power supply in another country?,More Information,Power problems — Troubleshoot problems with power and batteries.,More Information,0
242,Connect to a wireless network,More Information,"Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
243,Connect to a wireless network,See Also,"Why does my wireless network keep disconnecting? — You might have low signal, or the network might not be letting you
    connect properly. <st> Wireless network troubleshooter — Identify and fix problems with wireless connections.",See Also,0
244,Connect to a wireless network,Connect to a wireless network,"Open the system menu from the right
    side of the top bar. <st> Select Wi-Fi Not Connected . The Wi-Fi section of the menu will expand. <st> Click Select Network . <st> Click the name of the network you want, then click Connect . If the name of the network is not in the list, try clicking More to see if the network is further down the list. If you 
    still do not see the network, you may be out of range, or the network might be hidden . <st> If the network is protected by a password
    ( encryption key ), enter the
    password when prompted and click Connect . If you do not know the key, it may be written on the underside of the
    wireless router or base station, or in its instruction manual, or you may
    have to ask the person who administers the wireless network. <st> The network icon will change appearance as the computer attempts to
    connect to the network. <st> If the connection is successful, the icon will change to a dot with
    several curved bars above it
    ( ). More bars
    indicate a stronger connection to the network. Fewer bars mean the
    connection is weaker and might not be very reliable.","If you have a wireless-enabled computer, you can connect to a wireless
 network that is within range to get access to the internet, view shared files
 on the network, and so on.",1
245,Open applications for devices or discs,More Information,Music and players <st> Photos <st> Removable drives and external disks <st> Videos,More Information,0
246,Open applications for devices or discs,Open applications for devices or discs,"Open the Activities overview and
    start typing Details . <st> Click on Details to open the panel. <st> Click Removable Media . <st> Find your desired device or media type, and then choose an application
    or action for that media type. See below for a description of the different
    types of devices and media. Instead of starting an application, you can also set it so that the
    device will be shown in the file manager, with the Open folder option. When that happens, you will be asked what to do, or nothing will
    happen automatically. <st> If you do not see the device or media type that you want to change in
    the list (such as Blu-ray discs or E-book readers), click Other
    Media… to see a more detailed list of devices. Select the type of
    device or media from the Type drop-down and the application or
    action from the Action drop-down.","To decide which applications should start when you plug in various
  devices: ",1
247,Add or remove a contact,More Information,Contacts — Access your contacts.,More Information,0
248,Add or remove a contact,Add or remove a contact,"Press the + button. <st> In the New contact dialog, enter the contact name and their
      information. Click on the drop down box next to each field to chose the
      type of detail. <st> Press Add .",To add a contact:,1
249,Add or remove a contact,Add or remove a contact,Select the contact from your contact list. <st> Press Edit in the top-right corner of Contacts . <st> Press Remove Contact .,To remove a contact:,1
250,My computer gets really hot,More Information,Power problems — Troubleshoot problems with power and batteries.,More Information,0
251,What is a color space?,More Information,Color profiles,More Information,0
252,What is a color space?,See Also,What is a color profile? — A color profile is a simple file that expresses a color space or device response.,See Also,0
253,Why is my laptop slow when it is on battery?,More Information,Questions,More Information,0
254,Why is my laptop slow when it is on battery?,See Also,"Why do I have less battery life than I did on Windows/Mac OS? — Tweaks from the manufacturer and differing battery life estimates may
    be the cause of this problem.",See Also,0
